Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
20,1,3,8,3,1,2,4,0,3,2,2,0,4,1,0,1,17044
49,1,1,6,2,2,2,3,4,3,2,5,0,3,1,0,0,30379
33,1,1,15,3,2,2,3,0,3,0,1,0,2,1,0,1,17781
30,1,3,7,3,1,3,5,0,3,1,8,1,1,1,2,1,21478
57,1,1,15,2,1,4,4,0,5,1,6,1,4,1,2,1,22935
36,1,1,7,2,1,3,2,0,3,2,5,0,3,0,1,1,21184
41,0,1,23,3,2,3,5,1,3,3,8,0,5,0,1,2,23772
32,0,3,8,2,1,3,3,0,5,1,2,0,3,1,0,1,17827
55,1,1,26,1,2,2,3,1,3,1,4,1,1,0,0,2,20415
46,1,1,7,3,1,4,4,0,3,1,5,0,5,0,2,1,20948
33,0,1,9,2,1,2,3,0,3,0,2,1,5,1,1,1,17909
22,1,1,17,2,1,3,5,0,5,2,3,0,3,0,2,1,20094
33,1,3,8,3,2,3,3,1,3,1,2,0,3,1,1,2,20505
46,1,3,8,1,1,3,5,4,4,1,4,1,5,1,0,0,31872
47,1,3,9,1,1,4,6,4,4,1,5,1,5,1,1,0,35550
31,0,3,6,2,1,2,3,0,4,2,2,1,5,1,1,1,17302
38,1,1,35,1,2,2,3,1,3,1,4,0,1,0,0,2,21261
26,1,3,16,2,2,4,5,0,5,0,5,0,1,1,1,1,23078
59,1,1,9,3,1,2,1,0,5,1,5,1,1,0,1,1,17670
32,1,1,12,1,2,3,4,0,3,0,2,1,4,0,2,1,23499
37,1,3,16,2,2,3,5,1,5,3,2,0,2,0,1,2,22085
46,1,3,8,1,1,3,5,4,4,0,4,1,5,1,2,0,31872
35,0,1,10,2,2,3,4,1,3,3,2,0,1,1,1,2,26434
36,1,3,17,3,2,3,5,3,5,1,2,0,5,1,2,3,28984
35,1,1,31,3,1,2,3,3,3,1,2,1,3,1,1,3,25388
34,1,1,13,2,0,2,3,3,4,3,1,0,5,0,0,3,26994
27,1,1,23,3,2,3,4,0,4,1,4,1,1,1,1,1,21051
41,1,1,25,2,2,2,3,1,5,1,3,0,1,0,0,2,18072
54,1,2,25,3,2,2,3,3,4,1,3,0,3,1,1,3,25725
49,1,1,13,2,2,2,3,3,4,1,4,0,4,0,1,3,25466
37,1,1,15,1,1,3,4,3,3,1,3,0,4,1,2,3,28774
53,1,3,12,3,2,2,3,1,3,1,3,1,5,0,1,2,17306
32,1,1,6,3,2,2,3,1,3,0,2,1,4,1,0,2,21162
42,0,1,14,2,2,3,3,2,3,1,2,0,5,1,1,4,33430
36,0,1,11,2,2,3,5,0,3,0,3,0,2,1,1,1,21054
50,1,1,14,2,2,3,5,3,3,2,2,0,1,1,1,3,29643
41,1,2,6,2,2,2,4,2,3,1,2,0,1,1,1,4,34189
36,1,3,7,3,2,4,4,3,4,1,3,0,4,0,1,3,25973
48,1,1,11,2,1,4,5,3,4,1,2,1,4,1,3,3,29011
31,1,1,14,2,2,3,4,1,3,1,3,0,5,1,2,2,22169
29,0,1,16,2,1,3,3,0,4,1,1,0,5,1,0,1,18291
47,0,3,33,2,1,3,1,1,3,3,5,1,4,0,1,2,21397
30,1,1,22,2,2,3,4,0,3,2,3,0,3,1,2,1,21018
46,1,1,15,2,2,4,4,1,3,1,2,0,3,1,1,2,22375
38,1,1,32,3,1,3,5,1,3,1,2,0,3,1,1,2,24409
46,0,3,13,3,0,3,5,3,3,3,8,0,4,1,1,3,27543
28,1,1,6,2,1,3,5,0,4,2,1,1,2,1,0,1,17216
38,1,1,28,2,2,4,3,0,5,0,3,1,3,0,3,1,22242
38,1,3,10,2,2,3,4,3,3,3,4,0,3,0,2,3,26106
36,1,3,9,2,2,2,4,3,3,1,2,1,1,1,0,3,25325
44,1,1,14,2,1,3,4,3,5,0,2,0,5,1,1,3,28663
31,1,1,15,2,2,2,4,0,4,2,1,1,3,1,0,1,17657
40,1,1,7,3,1,4,4,0,3,1,2,0,3,1,1,1,20910
22,1,1,17,2,1,3,5,0,5,2,3,0,3,1,1,1,20094
28,0,1,6,3,2,2,3,0,3,2,1,1,4,0,0,1,17154
39,0,1,13,2,2,4,5,1,3,1,4,0,4,1,2,2,23999
39,1,3,14,3,1,3,2,1,5,1,3,1,3,1,2,2,24283
36,1,1,32,1,2,4,5,3,4,1,5,0,3,1,2,3,29581
30,1,3,22,2,2,3,3,1,3,0,1,0,3,0,2,2,20301
42,1,1,14,1,1,3,2,0,3,1,3,0,3,0,1,1,22054
26,0,1,8,2,2,2,3,0,5,1,7,1,5,0,0,1,17042
20,1,1,17,3,1,3,4,0,5,2,2,1,3,1,2,1,17600
39,0,3,17,1,0,3,4,1,3,3,3,1,3,0,2,2,24344
33,1,3,31,3,2,2,4,3,4,3,3,1,5,1,0,3,23380
31,1,1,10,1,1,3,4,0,5,3,7,1,4,1,2,1,21335
38,1,1,32,3,1,3,5,1,3,1,2,0,3,0,2,2,24409
45,1,1,36,2,2,3,4,1,3,3,3,0,5,1,2,2,23219
28,1,1,16,3,1,3,4,0,4,2,3,0,3,1,1,1,20957
27,1,1,14,2,2,4,2,0,5,3,2,0,1,1,1,1,22256
44,0,3,22,2,2,3,5,1,3,1,5,0,5,1,1,2,25482
25,1,3,25,3,2,2,4,0,4,1,2,1,1,0,1,1,17413
33,1,1,8,3,2,3,3,0,3,2,5,0,3,0,2,1,17496
35,1,3,10,1,2,2,3,3,5,3,1,1,4,1,1,3,24582
41,1,3,29,3,2,4,5,1,3,1,4,1,3,1,1,2,25058
26,1,1,23,3,2,3,5,0,3,1,2,0,3,0,2,1,17305
39,0,1,19,2,2,3,5,1,5,1,4,0,5,1,1,2,24966
30,1,1,14,2,1,3,1,3,5,1,1,1,1,0,2,3,26416
45,0,1,31,3,2,3,6,0,3,3,4,0,3,0,2,1,22386
51,1,1,17,1,0,2,4,4,4,3,4,0,1,0,1,0,28142
50,0,1,6,2,1,3,3,2,4,1,4,1,1,0,2,4,33172
34,1,1,25,2,1,2,4,0,3,1,2,0,4,1,1,1,17929
27,1,1,13,3,1,2,4,1,5,3,1,0,3,1,0,2,21811
46,0,1,13,3,1,1,3,1,3,1,3,0,5,1,0,2,20258
29,1,3,33,3,1,2,3,3,3,0,2,0,3,1,1,3,22639
21,1,1,18,3,1,4,5,0,5,3,3,1,3,0,2,1,21278
32,1,1,9,3,1,3,3,1,5,0,2,0,2,1,1,2,21725
40,0,3,34,2,2,2,5,3,5,1,4,0,5,0,1,3,25932
22,1,1,25,2,1,4,4,0,3,3,3,0,3,1,2,1,21371
50,0,1,8,3,1,1,3,4,5,0,3,0,3,1,0,0,32856
23,1,1,14,2,2,4,4,0,4,2,3,1,3,1,1,1,21150
53,1,1,6,2,2,3,4,3,4,2,2,0,3,1,2,3,29123
54,1,1,23,1,1,2,3,3,3,1,1,0,5,0,0,3,25739
28,1,1,16,3,1,5,4,0,4,2,3,0,3,0,2,1,20957
18,1,3,15,3,2,2,3,0,3,2,2,0,5,0,1,1,16611
36,0,1,29,3,2,2,1,1,3,1,5,0,3,0,0,2,17571
27,0,1,9,3,2,2,3,0,3,0,2,0,2,1,0,1,16706
36,1,1,13,2,2,3,6,1,3,3,3,0,5,1,1,2,25324
46,1,3,9,3,2,2,3,4,3,1,4,0,1,1,0,0,32465
36,1,3,25,3,1,3,4,1,3,1,3,0,4,1,2,2,23279
31,1,3,22,3,2,3,3,3,3,1,3,0,5,1,0,3,23161
55,1,3,8,3,2,2,3,1,3,2,5,0,1,1,0,2,20160
52,0,1,7,3,0,2,5,3,5,3,5,0,2,1,1,3,26162
35,1,1,13,2,1,3,4,1,3,3,3,0,3,1,1,2,23487
41,1,3,9,3,1,4,4,1,4,1,5,0,3,1,2,2,24355
34,1,1,35,3,2,2,3,1,3,0,5,0,3,0,0,2,20429
29,1,3,33,2,2,3,5,1,5,0,3,0,4,1,1,2,23402
34,1,1,7,2,0,3,5,1,3,3,2,0,4,0,1,2,25627
41,0,3,16,3,2,2,5,1,4,2,2,0,1,1,0,2,21151
41,1,3,23,3,2,4,4,3,3,1,4,0,5,0,2,3,22222
49,0,1,16,2,1,2,3,2,5,2,1,1,3,0,0,4,33665
40,0,1,14,3,2,2,4,3,4,1,3,0,1,1,1,3,28757
29,1,1,15,2,2,3,1,0,3,1,7,0,5,1,0,1,17451
29,0,1,8,3,2,2,4,0,5,2,1,0,4,1,1,1,18339
54,0,3,9,3,1,3,5,3,4,1,4,0,1,1,1,3,26203
38,1,1,21,2,1,4,4,0,5,1,3,0,4,1,1,1,21712
21,0,1,13,2,1,4,5,0,3,3,3,1,2,1,2,1,21604
35,1,1,9,3,1,3,5,0,5,3,3,0,1,1,1,1,23059
30,0,1,21,2,0,3,4,3,3,3,2,1,5,1,1,3,26231
32,0,3,14,3,1,4,4,3,5,1,4,0,1,1,3,3,28315
50,1,3,6,3,1,3,3,2,3,1,4,0,1,1,0,4,34517
38,0,1,8,2,2,2,3,0,3,0,2,1,5,1,1,1,16702
31,1,3,23,2,2,4,4,1,3,0,2,0,3,0,3,2,23979
57,1,1,30,2,2,2,1,3,3,1,4,1,4,1,0,3,24439
25,1,1,9,2,2,2,3,0,5,1,5,0,5,1,0,1,16118
19,1,1,31,2,1,2,1,0,3,2,2,1,5,1,0,1,17994
37,0,1,18,2,2,4,5,1,4,3,3,0,4,1,2,2,25177
44,1,1,9,2,2,2,3,2,3,1,5,1,1,0,1,4,34513
32,1,3,14,2,2,3,5,0,3,0,5,0,4,1,2,1,21007
26,1,3,33,3,0,3,4,1,3,3,3,0,4,0,1,2,24858
45,1,1,7,2,2,4,2,1,5,1,4,0,3,1,3,2,23711
50,1,1,7,1,1,3,5,4,3,2,2,1,3,1,1,0,32642
22,1,1,25,3,2,3,3,0,3,1,2,0,1,1,0,1,17323
38,1,2,6,2,2,2,1,0,3,1,2,0,4,1,0,1,17844
29,1,1,15,3,1,2,3,0,3,1,1,0,5,1,1,1,17974
58,1,1,7,2,2,4,2,1,3,0,2,0,3,1,3,2,23578
43,0,3,33,3,1,4,4,4,4,1,7,0,3,1,2,0,32203
27,1,1,31,1,2,4,6,0,3,2,3,1,3,0,2,1,21018
31,0,1,7,3,1,3,4,1,3,3,3,0,3,1,1,2,22689
30,1,2,20,2,2,3,5,0,5,1,6,1,5,1,2,1,21013
30,1,1,15,2,1,3,6,1,5,1,5,0,1,0,1,2,28393
41,0,1,16,3,2,3,4,0,4,1,2,1,4,0,2,1,22295
34,1,1,22,3,2,3,4,3,3,1,2,1,5,1,1,3,32288
50,1,3,18,3,1,4,4,1,3,3,5,0,4,0,2,2,23185
36,1,1,30,2,2,3,5,1,3,0,5,1,4,1,2,2,24594
50,0,1,15,2,2,4,5,1,4,0,3,0,3,1,3,2,23808
46,1,1,12,3,0,3,6,1,5,3,3,1,3,1,1,2,24447
27,0,1,7,2,1,4,6,0,3,1,5,0,4,1,1,1,23042
31,1,1,35,3,1,4,4,1,3,1,3,0,3,1,3,2,24453
20,0,3,15,3,1,2,3,0,3,2,2,1,4,0,0,1,17323
36,1,1,30,3,2,4,6,0,3,1,2,0,1,1,1,1,21383
33,1,3,7,3,1,3,4,3,3,1,3,0,5,1,1,3,29100
31,1,3,12,2,1,3,4,3,3,1,4,0,4,1,2,3,28097
33,1,1,11,2,1,4,5,1,3,1,3,0,4,1,2,2,24840
31,0,1,21,3,2,3,3,0,3,0,2,0,4,1,2,1,17610
42,1,3,27,3,1,4,4,0,4,3,3,1,4,0,2,1,21818
28,1,1,15,3,2,3,3,0,3,0,2,0,2,1,1,1,17070
54,1,3,7,3,0,3,4,1,5,3,2,0,1,1,2,2,27059
44,0,3,9,2,2,4,4,1,3,1,3,0,3,1,3,2,24353
30,1,3,10,3,1,4,4,1,3,0,3,0,2,0,1,2,24239
41,1,3,8,2,2,2,3,4,4,2,2,0,3,1,1,0,31015
29,1,3,29,2,1,2,4,3,5,1,2,0,3,1,1,3,22336
52,1,1,9,3,2,3,6,1,4,1,7,0,2,0,1,2,24160
30,1,1,34,3,1,4,4,1,3,0,6,0,2,1,1,2,23013
29,0,3,20,1,1,3,4,1,4,3,7,0,3,1,1,2,22545
33,1,1,11,2,2,2,4,3,3,1,5,0,3,0,0,3,22119
29,0,3,7,2,2,3,5,1,3,1,3,1,1,0,1,2,25512
43,0,1,35,1,1,3,5,1,3,1,2,0,3,0,2,2,23201
32,0,1,10,2,1,3,4,0,3,3,3,0,4,1,2,1,22762
18,0,1,20,3,1,2,3,0,3,2,2,0,5,1,0,1,16514
33,1,1,17,3,2,2,4,3,3,2,4,0,1,0,1,3,29922
39,1,1,12,3,2,2,4,3,5,1,5,0,4,1,0,3,24991
50,0,1,28,3,2,2,5,4,3,2,2,1,1,1,1,0,29411
49,0,1,16,2,1,2,3,2,5,2,1,1,3,0,1,4,33665
37,1,1,7,2,1,3,4,1,4,0,2,0,5,0,1,2,23906
59,1,1,8,2,1,3,4,4,3,2,4,1,5,0,2,0,28726
35,1,1,12,3,1,3,5,3,5,2,4,0,1,1,2,3,30309
38,1,1,7,1,0,3,4,3,3,3,6,0,5,1,1,3,26169
52,1,1,18,1,1,3,5,4,4,2,5,0,1,0,2,0,31820
36,1,1,18,3,2,3,4,0,3,1,2,1,5,0,1,1,21338
32,0,1,36,3,2,4,5,0,4,3,2,0,3,1,3,1,22157
23,0,1,11,1,2,4,5,0,3,3,7,0,5,0,1,1,22572
28,1,1,14,2,1,3,3,0,3,2,2,0,4,1,1,1,18310
31,0,1,9,3,2,3,3,3,3,1,1,0,4,1,0,3,28675
44,1,1,14,2,2,3,1,0,3,1,3,1,3,1,0,1,17818
39,1,1,6,3,2,2,1,3,3,1,1,0,3,1,0,3,24613
44,1,2,6,2,1,2,3,0,3,1,5,1,3,1,0,1,18195
33,1,1,13,2,2,3,4,0,3,3,5,0,1,0,2,1,21716
39,0,1,8,2,2,2,3,4,3,1,1,0,3,1,0,0,27169
34,1,1,16,3,2,3,4,0,3,0,2,0,2,1,1,1,21459
32,0,3,12,3,1,3,4,0,4,1,3,0,3,0,2,1,21467
43,1,1,19,3,2,3,4,0,4,1,2,0,1,1,2,1,21444
42,0,1,9,2,0,4,5,1,3,3,4,1,1,0,1,2,25489
34,1,3,15,3,2,3,4,1,3,1,2,0,1,0,1,2,25782
34,1,2,9,2,2,3,4,0,3,0,3,0,2,0,1,1,22278
50,1,3,18,3,1,3,4,3,3,1,3,0,4,0,1,3,26332
43,1,3,22,3,1,3,3,4,3,0,6,1,3,0,1,0,31064
31,1,1,13,2,2,2,3,1,3,1,4,0,3,1,0,2,20915
37,1,1,6,2,1,2,4,1,3,0,2,0,2,1,1,2,21474
26,0,1,6,2,1,2,3,1,4,1,2,0,5,1,1,2,21397
38,1,1,17,2,1,3,4,0,5,1,2,1,3,1,2,1,21460
58,1,1,7,3,2,3,4,1,3,0,4,0,3,1,2,2,25433
45,0,3,12,3,0,2,4,3,3,3,7,0,4,1,0,3,23865
52,1,1,10,3,1,4,4,4,4,2,5,0,5,1,2,0,32412
30,1,1,26,1,2,3,4,1,3,1,6,0,5,1,1,2,22940
33,1,1,10,2,1,3,4,3,3,2,5,0,1,1,1,3,29837
56,0,1,9,2,2,4,4,3,4,1,5,0,1,0,2,3,29654
39,1,1,22,2,2,4,5,3,3,1,2,1,5,1,2,3,30188
37,1,1,8,1,1,4,6,3,5,1,4,1,1,1,1,3,28930
21,1,1,16,2,1,2,4,0,5,2,2,0,3,0,1,1,16416
29,0,3,6,3,1,2,3,3,3,0,2,0,3,1,0,3,22918
26,0,1,12,2,2,3,1,0,3,1,1,0,4,1,1,1,17544
43,1,1,12,3,1,2,4,2,3,1,1,0,3,1,1,4,34392
31,1,1,14,2,2,3,4,1,3,1,3,0,5,1,2,2,22169
40,1,1,10,3,1,2,3,2,3,0,2,0,5,0,1,4,34033
39,0,2,9,2,2,4,4,0,4,1,7,0,3,1,3,1,21270
40,1,1,20,3,2,2,4,2,3,2,2,0,3,1,1,4,34626
32,0,1,27,2,2,4,4,3,3,1,5,0,3,1,1,3,28502
23,0,1,33,2,1,3,5,0,3,1,3,1,3,0,1,1,21492
30,1,1,9,2,2,4,4,0,4,1,2,0,4,1,1,1,21381
32,1,3,14,2,2,3,5,3,3,1,2,0,3,1,1,3,30235
35,1,1,14,2,1,3,4,3,4,2,2,0,5,0,1,3,30672
30,1,1,14,3,1,4,5,0,3,1,8,0,5,1,1,1,21210
43,1,1,18,2,2,2,4,4,4,1,2,0,3,1,1,0,29336
34,0,1,9,2,2,2,3,1,3,3,1,0,1,1,0,2,22756
41,1,3,26,3,1,3,3,0,4,2,2,1,4,0,2,1,18140
35,0,3,5,2,2,3,3,3,5,1,2,0,4,0,0,3,24069
60,0,3,34,3,1,3,4,3,5,0,5,0,2,1,0,3,25266
39,0,1,9,2,2,3,4,0,3,1,3,1,5,1,1,1,20380
